Frequent 0-itemsets:
itemset (occurrence)
{} (8124)
Frequent 1-itemsets:
itemset (occurrence)
116 (3148)
6 (3152)
10 (3244)
23 (3376)
52 (3516)
28 (3528)
3 (3656)
56 (3776)
1 (3916)
93 (3968)
110 (4040)
2 (4208)
76 (4384)
67 (4464)
53 (4608)
24 (4748)
63 (4936)
59 (5176)
39 (5612)
36 (6812)
90 (7488)
34 (7914)
86 (7924)
85 (8124)
Frequent 2-itemsets:
itemset (occurrence)
52 34 86 (3298)
52 34 85 (3306)
52 86 85 (3316)
28 2 39 (3216)
28 2 90 (2880)
28 2 34 (3216)
28 2 86 (3216)
28 2 85 (3408)
28 63 85 (2872)
28 59 85 (2920)
28 39 34 (3096)
28 39 86 (3096)
28 39 85 (3288)
28 90 85 (2928)
28 34 86 (3328)
28 34 85 (3336)
28 86 85 (3328)
3 36 90 (2920)
3 36 34 (2962)
3 36 86 (2968)
3 36 85 (3016)
3 90 34 (3416)
3 90 86 (3416)
3 90 85 (3464)
3 34 86 (3602)
3 34 85 (3602)
3 86 85 (3608)
56 39 36 (3432)
56 39 90 (3312)
56 39 34 (3432)
56 39 86 (3432)
56 39 85 (3432)
56 36 90 (3408)
56 36 34 (3528)
56 36 86 (3528)
56 36 85 (3528)
56 90 34 (3656)
56 90 86 (3656)
56 90 85 (3656)
56 34 86 (3776)
56 34 85 (3776)
56 86 85 (3776)
1 110 34 (2848)
1 110 86 (2848)
1 110 85 (2848)
1 24 36 (3188)
1 24 90 (3256)
1 24 34 (3274)
1 24 86 (3284)
1 24 85 (3292)
1 36 90 (3696)
1 36 34 (3786)
1 36 86 (3804)
1 36 85 (3804)
1 90 34 (3808)
1 90 86 (3800)
1 90 85 (3808)
1 34 86 (3890)
1 34 85 (3898)
1 86 85 (3908)
93 2 59 (2992)
93 2 39 (2960)
93 2 34 (2960)
93 2 86 (2960)
93 2 85 (3152)
93 63 59 (3328)
93 63 36 (3128)
93 63 90 (3224)
93 63 34 (3280)
93 63 86 (3280)
93 63 85 (3472)
93 59 39 (3016)
93 59 36 (3320)
93 59 90 (3416)
93 59 34 (3472)
93 59 86 (3472)
93 59 85 (3664)
93 39 36 (3032)
93 39 90 (2912)
93 39 34 (3128)
93 39 86 (3128)
93 39 85 (3320)
93 36 90 (3360)
93 36 34 (3288)
93 36 86 (3288)
93 36 85 (3480)
93 90 34 (3368)
93 90 86 (3368)
93 90 85 (3560)
93 34 86 (3776)
93 34 85 (3776)
93 86 85 (3776)
110 36 90 (3760)
110 36 34 (3752)
110 36 86 (3752)
110 36 85 (3848)
110 90 34 (3856)
110 90 86 (3856)
110 90 85 (3952)
110 34 86 (3944)
110 34 85 (3944)
110 86 85 (3944)
2 63 59 (3124)
2 63 39 (3184)
2 63 90 (3032)
2 63 34 (3208)
2 63 86 (3208)
2 63 85 (3400)
2 59 39 (3376)
2 59 36 (2992)
2 59 90 (3272)
2 59 34 (3448)
2 59 86 (3448)
2 59 85 (3640)
2 39 36 (2864)
2 39 90 (3392)
2 39 34 (3728)
2 39 86 (3728)
2 39 85 (3920)
2 36 85 (3008)
2 90 34 (3488)
2 90 86 (3488)
2 90 85 (3680)
2 34 86 (4016)
2 34 85 (4016)
2 86 85 (4016)
76 67 90 (3080)
76 67 34 (3520)
76 67 86 (3520)
76 67 85 (3520)
76 63 34 (3040)
76 63 86 (3040)
76 63 85 (3040)
76 59 90 (2936)
76 59 34 (3280)
76 59 86 (3280)
76 59 85 (3280)
76 36 90 (2928)
76 36 34 (3128)
76 36 86 (3128)
76 36 85 (3128)
76 90 34 (3896)
76 90 86 (3896)
76 90 85 (3896)
76 34 86 (4384)
76 34 85 (4384)
76 86 85 (4384)
67 63 34 (3064)
67 63 86 (3064)
67 63 85 (3064)
67 59 90 (2960)
67 59 34 (3304)
67 59 86 (3304)
67 59 85 (3304)
67 36 90 (2960)
67 36 34 (3160)
67 36 86 (3160)
67 36 85 (3160)
67 90 34 (3976)
67 90 86 (3976)
67 90 85 (3976)
67 34 86 (4464)
67 34 85 (4464)
67 86 85 (4464)
53 63 90 (3216)
53 63 34 (3216)
53 63 86 (3216)
53 63 85 (3216)
53 59 90 (3216)
53 59 34 (3216)
53 59 86 (3216)
53 59 85 (3216)
53 36 90 (3744)
53 36 34 (3744)
53 36 86 (3744)
53 36 85 (3744)
53 90 34 (4608)
53 90 86 (4608)
53 90 85 (4608)
53 34 86 (4608)
53 34 85 (4608)
53 86 85 (4608)
24 36 90 (3488)
24 36 34 (3330)
24 36 86 (3348)
24 36 85 (3540)
24 90 34 (4216)
24 90 86 (4208)
24 90 85 (4408)
24 34 86 (4530)
24 34 85 (4538)
24 86 85 (4548)
63 59 39 (3064)
63 59 36 (3680)
63 59 90 (3788)
63 59 34 (3964)
63 59 86 (3964)
63 59 85 (4156)
63 39 36 (2872)
63 39 90 (2960)
63 39 34 (3208)
63 39 86 (3208)
63 39 85 (3400)
63 36 90 (3888)
63 36 34 (3992)
63 36 86 (3992)
63 36 85 (4184)
63 90 34 (4304)
63 90 86 (4304)
63 90 85 (4496)
63 34 86 (4744)
63 34 85 (4744)
63 86 85 (4744)
59 39 36 (3064)
59 39 90 (3152)
59 39 34 (3400)
59 39 86 (3400)
59 39 85 (3592)
59 36 90 (4128)
59 36 34 (4232)
59 36 86 (4232)
59 36 85 (4424)
59 90 34 (4544)
59 90 86 (4544)
59 90 85 (4736)
59 34 86 (4984)
59 34 85 (4984)
59 86 85 (4984)
39 36 90 (4208)
39 36 34 (4346)
39 36 86 (4364)
39 36 85 (4556)
39 90 34 (4784)
39 90 86 (4784)
39 90 85 (4976)
39 34 86 (5402)
39 34 85 (5402)
39 86 85 (5420)
36 90 34 (6272)
36 90 86 (6272)
36 90 85 (6464)
36 34 86 (6602)
36 34 85 (6602)
36 86 85 (6620)
90 34 86 (7288)
90 34 85 (7296)
90 86 85 (7288)
34 86 85 (7906)
Frequent 4-itemsets:
itemset (occurrence)
116 36 90 34 (2912)
116 36 90 86 (2912)
116 36 90 85 (2912)
116 36 34 86 (2938)
116 36 34 85 (2938)
116 36 86 85 (2956)
116 90 34 86 (3104)
116 90 34 85 (3104)
116 90 86 85 (3104)
116 34 86 85 (3130)
6 90 34 86 (2970)
6 90 34 85 (2972)
6 90 86 85 (2970)
6 34 86 85 (3096)
10 36 90 34 (3016)
10 36 90 86 (3016)
10 36 90 85 (3016)
10 36 34 86 (3190)
10 36 34 85 (3190)
10 36 86 85 (3208)
10 90 34 86 (3044)
10 90 34 85 (3052)
10 90 86 85 (3044)
10 34 86 85 (3218)
23 93 63 34 (2848)
23 93 63 86 (2848)
23 93 63 85 (2848)
23 93 59 36 (2936)
23 93 59 90 (2936)
23 93 59 34 (3040)
23 93 59 86 (3040)
23 93 59 85 (3040)
23 93 36 90 (2976)
23 93 36 34 (3080)
23 93 36 86 (3080)
23 93 36 85 (3080)
23 93 90 34 (3080)
23 93 90 86 (3080)
23 93 90 85 (3080)
23 93 34 86 (3184)
23 93 34 85 (3184)
23 93 86 85 (3184)
23 63 59 36 (2864)
23 63 59 34 (2968)
23 63 59 86 (2968)
23 63 59 85 (2968)
23 63 36 34 (2936)
23 63 36 86 (2936)
23 63 36 85 (2936)
23 63 34 86 (3040)
23 63 34 85 (3040)
23 63 86 85 (3040)
23 59 39 36 (2872)
23 59 39 34 (2872)
23 59 39 86 (2872)
23 59 39 85 (2872)
23 59 36 34 (3128)
23 59 36 86 (3128)
23 59 36 85 (3128)
23 59 90 34 (2936)
23 59 90 86 (2936)
23 59 90 85 (2936)
23 59 34 86 (3232)
23 59 34 85 (3232)
23 59 86 85 (3232)
23 39 36 34 (3016)
23 39 36 86 (3016)
23 39 36 85 (3016)
23 39 34 86 (3016)
23 39 34 85 (3016)
23 39 86 85 (3016)
23 36 90 34 (2976)
23 36 90 86 (2976)
23 36 90 85 (2976)
23 36 34 86 (3272)
23 36 34 85 (3272)
23 36 86 85 (3272)
23 90 34 86 (3080)
23 90 34 85 (3080)
23 90 86 85 (3080)
23 34 86 85 (3376)
52 36 34 86 (2858)
52 36 34 85 (2858)
52 36 86 85 (2876)
52 34 86 85 (3298)
28 2 39 34 (3024)
28 2 39 86 (3024)
28 2 39 85 (3216)
28 2 90 85 (2880)
28 2 34 86 (3216)
28 2 34 85 (3216)
28 2 86 85 (3216)
28 39 34 86 (3096)
28 39 34 85 (3096)
28 39 86 85 (3096)
28 34 86 85 (3328)
3 36 90 34 (2872)
3 36 90 86 (2872)
3 36 90 85 (2920)
3 36 34 86 (2962)
3 36 34 85 (2962)
3 36 86 85 (2968)
3 90 34 86 (3416)
3 90 34 85 (3416)
3 90 86 85 (3416)
3 34 86 85 (3602)
56 39 36 90 (3312)
56 39 36 34 (3432)
56 39 36 86 (3432)
56 39 36 85 (3432)
56 39 90 34 (3312)
56 39 90 86 (3312)
56 39 90 85 (3312)
56 39 34 86 (3432)
56 39 34 85 (3432)
56 39 86 85 (3432)
56 36 90 34 (3408)
56 36 90 86 (3408)
56 36 90 85 (3408)
56 36 34 86 (3528)
56 36 34 85 (3528)
56 36 86 85 (3528)
56 90 34 86 (3656)
56 90 34 85 (3656)
56 90 86 85 (3656)
56 34 86 85 (3776)
1 110 34 86 (2848)
1 110 34 85 (2848)
1 110 86 85 (2848)
1 24 36 90 (3152)
1 24 36 34 (3170)
1 24 36 86 (3188)
1 24 36 85 (3188)
1 24 90 34 (3256)
1 24 90 86 (3248)
1 24 90 85 (3256)
1 24 34 86 (3266)
1 24 34 85 (3274)
1 24 86 85 (3284)
1 36 90 34 (3696)
1 36 90 86 (3696)
1 36 90 85 (3696)
1 36 34 86 (3786)
1 36 34 85 (3786)
1 36 86 85 (3804)
1 90 34 86 (3800)
1 90 34 85 (3808)
1 90 86 85 (3800)
1 34 86 85 (3890)
93 2 59 85 (2992)
93 2 39 85 (2960)
93 2 34 86 (2960)
93 2 34 85 (2960)
93 2 86 85 (2960)
93 63 59 36 (3056)
93 63 59 90 (3152)
93 63 59 34 (3136)
93 63 59 86 (3136)
93 63 59 85 (3328)
93 63 36 90 (3024)
93 63 36 34 (2936)
93 63 36 86 (2936)
93 63 36 85 (3128)
93 63 90 34 (3032)
93 63 90 86 (3032)
93 63 90 85 (3224)
93 63 34 86 (3280)
93 63 34 85 (3280)
93 63 86 85 (3280)
93 59 39 36 (2872)
93 59 39 85 (3016)
93 59 36 90 (3216)
93 59 36 34 (3128)
93 59 36 86 (3128)
93 59 36 85 (3320)
93 59 90 34 (3224)
93 59 90 86 (3224)
93 59 90 85 (3416)
93 59 34 86 (3472)
93 59 34 85 (3472)
93 59 86 85 (3472)
93 39 36 90 (2912)
93 39 36 85 (3032)
93 39 90 85 (2912)
93 39 34 86 (3128)
93 39 34 85 (3128)
93 39 86 85 (3128)
93 36 90 34 (3168)
93 36 90 86 (3168)
93 36 90 85 (3360)
93 36 34 86 (3288)
93 36 34 85 (3288)
93 36 86 85 (3288)
93 90 34 86 (3368)
93 90 34 85 (3368)
93 90 86 85 (3368)
93 34 86 85 (3776)
110 36 90 34 (3664)
110 36 90 86 (3664)
110 36 90 85 (3760)
110 36 34 86 (3752)
110 36 34 85 (3752)
110 36 86 85 (3752)
110 90 34 86 (3856)
110 90 34 85 (3856)
110 90 86 85 (3856)
110 34 86 85 (3944)
2 63 59 39 (2920)
2 63 59 34 (2932)
2 63 59 86 (2932)
2 63 59 85 (3124)
2 63 39 34 (2992)
2 63 39 86 (2992)
2 63 39 85 (3184)
2 63 90 85 (3032)
2 63 34 86 (3208)
2 63 34 85 (3208)
2 63 86 85 (3208)
2 59 39 36 (2848)
2 59 39 90 (3008)
2 59 39 34 (3184)
2 59 39 86 (3184)
2 59 39 85 (3376)
2 59 36 85 (2992)
2 59 90 34 (3080)
2 59 90 86 (3080)
2 59 90 85 (3272)
2 59 34 86 (3448)
2 59 34 85 (3448)
2 59 86 85 (3448)
2 39 36 85 (2864)
2 39 90 34 (3200)
2 39 90 86 (3200)
2 39 90 85 (3392)
2 39 34 86 (3728)
2 39 34 85 (3728)
2 39 86 85 (3728)
2 90 34 86 (3488)
2 90 34 85 (3488)
2 90 86 85 (3488)
2 34 86 85 (4016)
76 67 90 34 (3080)
76 67 90 86 (3080)
76 67 90 85 (3080)
76 67 34 86 (3520)
76 67 34 85 (3520)
76 67 86 85 (3520)
76 63 34 86 (3040)
76 63 34 85 (3040)
76 63 86 85 (3040)
76 59 90 34 (2936)
76 59 90 86 (2936)
76 59 90 85 (2936)
76 59 34 86 (3280)
76 59 34 85 (3280)
76 59 86 85 (3280)
76 36 90 34 (2928)
76 36 90 86 (2928)
76 36 90 85 (2928)
76 36 34 86 (3128)
76 36 34 85 (3128)
76 36 86 85 (3128)
76 90 34 86 (3896)
76 90 34 85 (3896)
76 90 86 85 (3896)
76 34 86 85 (4384)
67 63 34 86 (3064)
67 63 34 85 (3064)
67 63 86 85 (3064)
67 59 90 34 (2960)
67 59 90 86 (2960)
67 59 90 85 (2960)
67 59 34 86 (3304)
67 59 34 85 (3304)
67 59 86 85 (3304)
67 36 90 34 (2960)
67 36 90 86 (2960)
67 36 90 85 (2960)
67 36 34 86 (3160)
67 36 34 85 (3160)
67 36 86 85 (3160)
67 90 34 86 (3976)
67 90 34 85 (3976)
67 90 86 85 (3976)
67 34 86 85 (4464)
53 63 90 34 (3216)
53 63 90 86 (3216)
53 63 90 85 (3216)
53 63 34 86 (3216)
53 63 34 85 (3216)
53 63 86 85 (3216)
53 59 90 34 (3216)
53 59 90 86 (3216)
53 59 90 85 (3216)
53 59 34 86 (3216)
53 59 34 85 (3216)
53 59 86 85 (3216)
53 36 90 34 (3744)
53 36 90 86 (3744)
53 36 90 85 (3744)
53 36 34 86 (3744)
53 36 34 85 (3744)
53 36 86 85 (3744)
53 90 34 86 (4608)
53 90 34 85 (4608)
53 90 86 85 (4608)
53 34 86 85 (4608)
24 36 90 34 (3296)
24 36 90 86 (3296)
24 36 90 85 (3488)
24 36 34 86 (3330)
24 36 34 85 (3330)
24 36 86 85 (3348)
24 90 34 86 (4208)
24 90 34 85 (4216)
24 90 86 85 (4208)
24 34 86 85 (4530)
63 59 39 34 (2872)
63 59 39 86 (2872)
63 59 39 85 (3064)
63 59 36 90 (3384)
63 59 36 34 (3488)
63 59 36 86 (3488)
63 59 36 85 (3680)
63 59 90 34 (3596)
63 59 90 86 (3596)
63 59 90 85 (3788)
63 59 34 86 (3964)
63 59 34 85 (3964)
63 59 86 85 (3964)
63 39 36 85 (2872)
63 39 90 85 (2960)
63 39 34 86 (3208)
63 39 34 85 (3208)
63 39 86 85 (3208)
63 36 90 34 (3696)
63 36 90 86 (3696)
63 36 90 85 (3888)
63 36 34 86 (3992)
63 36 34 85 (3992)
63 36 86 85 (3992)
63 90 34 86 (4304)
63 90 34 85 (4304)
63 90 86 85 (4304)
63 34 86 85 (4744)
59 39 36 34 (2872)
59 39 36 86 (2872)
59 39 36 85 (3064)
59 39 90 34 (2960)
59 39 90 86 (2960)
59 39 90 85 (3152)
59 39 34 86 (3400)
59 39 34 85 (3400)
59 39 86 85 (3400)
59 36 90 34 (3936)
59 36 90 86 (3936)
59 36 90 85 (4128)
59 36 34 86 (4232)
59 36 34 85 (4232)
59 36 86 85 (4232)
59 90 34 86 (4544)
59 90 34 85 (4544)
59 90 86 85 (4544)
59 34 86 85 (4984)
39 36 90 34 (4016)
39 36 90 86 (4016)
39 36 90 85 (4208)
39 36 34 86 (4346)
39 36 34 85 (4346)
39 36 86 85 (4364)
39 90 34 86 (4784)
39 90 34 85 (4784)
39 90 86 85 (4784)
39 34 86 85 (5402)
36 90 34 86 (6272)
36 90 34 85 (6272)
36 90 86 85 (6272)
36 34 86 85 (6602)
90 34 86 85 (7288)
Frequent 5-itemsets:
itemset (occurrence)
116 36 90 34 86 (2912)
116 36 90 34 85 (2912)
116 36 90 86 85 (2912)
116 36 34 86 85 (2938)
116 90 34 86 85 (3104)
6 90 34 86 85 (2970)
10 36 90 34 86 (3016)
10 36 90 34 85 (3016)
10 36 90 86 85 (3016)
10 36 34 86 85 (3190)
10 90 34 86 85 (3044)
23 93 63 34 86 (2848)
23 93 63 34 85 (2848)
23 93 63 86 85 (2848)
23 93 59 36 34 (2936)
23 93 59 36 86 (2936)
23 93 59 36 85 (2936)
23 93 59 90 34 (2936)
23 93 59 90 86 (2936)
23 93 59 90 85 (2936)
23 93 59 34 86 (3040)
23 93 59 34 85 (3040)
23 93 59 86 85 (3040)
23 93 36 90 34 (2976)
23 93 36 90 86 (2976)
23 93 36 90 85 (2976)
23 93 36 34 86 (3080)
23 93 36 34 85 (3080)
23 93 36 86 85 (3080)
23 93 90 34 86 (3080)
23 93 90 34 85 (3080)
23 93 90 86 85 (3080)
23 93 34 86 85 (3184)
23 63 59 36 34 (2864)
23 63 59 36 86 (2864)
23 63 59 36 85 (2864)
23 63 59 34 86 (2968)
23 63 59 34 85 (2968)
23 63 59 86 85 (2968)
23 63 36 34 86 (2936)
23 63 36 34 85 (2936)
23 63 36 86 85 (2936)
23 63 34 86 85 (3040)
23 59 39 36 34 (2872)
23 59 39 36 86 (2872)
23 59 39 36 85 (2872)
23 59 39 34 86 (2872)
23 59 39 34 85 (2872)
23 59 39 86 85 (2872)
23 59 36 34 86 (3128)
23 59 36 34 85 (3128)
23 59 36 86 85 (3128)
23 59 90 34 86 (2936)
23 59 90 34 85 (2936)
23 59 90 86 85 (2936)
23 59 34 86 85 (3232)
23 39 36 34 86 (3016)
23 39 36 34 85 (3016)
23 39 36 86 85 (3016)
23 39 34 86 85 (3016)
23 36 90 34 86 (2976)
23 36 90 34 85 (2976)
23 36 90 86 85 (2976)
23 36 34 86 85 (3272)
23 90 34 86 85 (3080)
52 36 34 86 85 (2858)
28 2 39 34 86 (3024)
28 2 39 34 85 (3024)
28 2 39 86 85 (3024)
28 2 34 86 85 (3216)
28 39 34 86 85 (3096)
3 36 90 34 86 (2872)
3 36 90 34 85 (2872)
3 36 90 86 85 (2872)
3 36 34 86 85 (2962)
3 90 34 86 85 (3416)
56 39 36 90 34 (3312)
56 39 36 90 86 (3312)
56 39 36 90 85 (3312)
56 39 36 34 86 (3432)
56 39 36 34 85 (3432)
56 39 36 86 85 (3432)
56 39 90 34 86 (3312)
56 39 90 34 85 (3312)
56 39 90 86 85 (3312)
56 39 34 86 85 (3432)
56 36 90 34 86 (3408)
56 36 90 34 85 (3408)
56 36 90 86 85 (3408)
56 36 34 86 85 (3528)
56 90 34 86 85 (3656)
1 110 34 86 85 (2848)
1 24 36 90 34 (3152)
1 24 36 90 86 (3152)
1 24 36 90 85 (3152)
1 24 36 34 86 (3170)
1 24 36 34 85 (3170)
1 24 36 86 85 (3188)
1 24 90 34 86 (3248)
1 24 90 34 85 (3256)
1 24 90 86 85 (3248)
1 24 34 86 85 (3266)
1 36 90 34 86 (3696)
1 36 90 34 85 (3696)
1 36 90 86 85 (3696)
1 36 34 86 85 (3786)
1 90 34 86 85 (3800)
93 2 34 86 85 (2960)
93 63 59 36 90 (2952)
93 63 59 36 34 (2864)
93 63 59 36 86 (2864)
93 63 59 36 85 (3056)
93 63 59 90 34 (2960)
93 63 59 90 86 (2960)
93 63 59 90 85 (3152)
93 63 59 34 86 (3136)
93 63 59 34 85 (3136)
93 63 59 86 85 (3136)
93 63 36 90 85 (3024)
93 63 36 34 86 (2936)
93 63 36 34 85 (2936)
93 63 36 86 85 (2936)
93 63 90 34 86 (3032)
93 63 90 34 85 (3032)
93 63 90 86 85 (3032)
93 63 34 86 85 (3280)
93 59 39 36 85 (2872)
93 59 36 90 34 (3024)
93 59 36 90 86 (3024)
93 59 36 90 85 (3216)
93 59 36 34 86 (3128)
93 59 36 34 85 (3128)
93 59 36 86 85 (3128)
93 59 90 34 86 (3224)
93 59 90 34 85 (3224)
93 59 90 86 85 (3224)
93 59 34 86 85 (3472)
93 39 36 90 85 (2912)
93 39 34 86 85 (3128)
93 36 90 34 86 (3168)
93 36 90 34 85 (3168)
93 36 90 86 85 (3168)
93 36 34 86 85 (3288)
93 90 34 86 85 (3368)
110 36 90 34 86 (3664)
110 36 90 34 85 (3664)
110 36 90 86 85 (3664)
110 36 34 86 85 (3752)
110 90 34 86 85 (3856)
2 63 59 39 85 (2920)
2 63 59 34 86 (2932)
2 63 59 34 85 (2932)
2 63 59 86 85 (2932)
2 63 39 34 86 (2992)
2 63 39 34 85 (2992)
2 63 39 86 85 (2992)
2 63 34 86 85 (3208)
2 59 39 36 85 (2848)
2 59 39 90 85 (3008)
2 59 39 34 86 (3184)
2 59 39 34 85 (3184)
2 59 39 86 85 (3184)
2 59 90 34 86 (3080)
2 59 90 34 85 (3080)
2 59 90 86 85 (3080)
2 59 34 86 85 (3448)
2 39 90 34 86 (3200)
2 39 90 34 85 (3200)
2 39 90 86 85 (3200)
2 39 34 86 85 (3728)
2 90 34 86 85 (3488)
76 67 90 34 86 (3080)
76 67 90 34 85 (3080)
76 67 90 86 85 (3080)
76 67 34 86 85 (3520)
76 63 34 86 85 (3040)
76 59 90 34 86 (2936)
76 59 90 34 85 (2936)
76 59 90 86 85 (2936)
76 59 34 86 85 (3280)
76 36 90 34 86 (2928)
76 36 90 34 85 (2928)
76 36 90 86 85 (2928)
76 36 34 86 85 (3128)
76 90 34 86 85 (3896)
67 63 34 86 85 (3064)
67 59 90 34 86 (2960)
67 59 90 34 85 (2960)
67 59 90 86 85 (2960)
67 59 34 86 85 (3304)
67 36 90 34 86 (2960)
67 36 90 34 85 (2960)
67 36 90 86 85 (2960)
67 36 34 86 85 (3160)
67 90 34 86 85 (3976)
53 63 90 34 86 (3216)
53 63 90 34 85 (3216)
53 63 90 86 85 (3216)
53 63 34 86 85 (3216)
53 59 90 34 86 (3216)
53 59 90 34 85 (3216)
53 59 90 86 85 (3216)
53 59 34 86 85 (3216)
53 36 90 34 86 (3744)
53 36 90 34 85 (3744)
53 36 90 86 85 (3744)
53 36 34 86 85 (3744)
53 90 34 86 85 (4608)
24 36 90 34 86 (3296)
24 36 90 34 85 (3296)
24 36 90 86 85 (3296)
24 36 34 86 85 (3330)
24 90 34 86 85 (4208)
63 59 39 34 86 (2872)
63 59 39 34 85 (2872)
63 59 39 86 85 (2872)
63 59 36 90 34 (3192)
63 59 36 90 86 (3192)
63 59 36 90 85 (3384)
63 59 36 34 86 (3488)
63 59 36 34 85 (3488)
63 59 36 86 85 (3488)
63 59 90 34 86 (3596)
63 59 90 34 85 (3596)
63 59 90 86 85 (3596)
63 59 34 86 85 (3964)
63 39 34 86 85 (3208)
63 36 90 34 86 (3696)
63 36 90 34 85 (3696)
63 36 90 86 85 (3696)
63 36 34 86 85 (3992)
63 90 34 86 85 (4304)
59 39 36 34 86 (2872)
59 39 36 34 85 (2872)
59 39 36 86 85 (2872)
59 39 90 34 86 (2960)
59 39 90 34 85 (2960)
59 39 90 86 85 (2960)
59 39 34 86 85 (3400)
59 36 90 34 86 (3936)
59 36 90 34 85 (3936)
59 36 90 86 85 (3936)
59 36 34 86 85 (4232)
59 90 34 86 85 (4544)
39 36 90 34 86 (4016)
39 36 90 34 85 (4016)
39 36 90 86 85 (4016)
39 36 34 86 85 (4346)
39 90 34 86 85 (4784)
36 90 34 86 85 (6272)
Frequent 6-itemsets:
itemset (occurrence)
116 36 90 34 86 85 (2912)
10 36 90 34 86 85 (3016)
23 93 63 34 86 85 (2848)
23 93 59 36 34 86 (2936)
23 93 59 36 34 85 (2936)
23 93 59 36 86 85 (2936)
23 93 59 90 34 86 (2936)
23 93 59 90 34 85 (2936)
23 93 59 90 86 85 (2936)
